UserName,Website,MileStones,LengthOfPosts,FacebookPage,AvgLikesCommentsSharesPerPosts,Hashtags,EngagementRate,LikesGrowth,Timming,Likes,PTAT,PageName,ID,AvgPostsPerDay
Millenniumshoppingoficial,http://www.millenniumshopping.com.br/,1,Less than 100 characters.,https://www.facebook.com/millenniumshoppingoficial/,6,Not using.,1.76%,0.64%,Slightly off.,"44,476",782,Millennium Shopping,millenniumshoppingoficial,1.05
Shoppingpontanegra,http://www.shoppingpontanegra.com.br/,10,Between 100 and 500 characters.,https://www.facebook.com/ShoppingPontaNegra/,110,Using.,2.33%,0.53%,Way off.,"134,043","3,117",Shopping Ponta Negra,ShoppingPontaNegra,2.12
Amshopping,http://www.amshopping.com.br,4,Between 100 and 500 characters.,https://www.facebook.com/amshopping/,776,Using.,3.97%,1%,Perfect timing!,"301,049","11,937",Amazonas Shopping,amshopping,1.25
Manaus.plazaii,http://www.manausplaza.com.br/,0,Between 100 and 500 characters.,https://www.facebook.com/manaus.plazaii/,27,Not using.,2.56%,2.35%,Way off.,"41,387","1,061",Manaus Plaza Shopping,manaus.plazaii,2.64
Manauarashop,http://www.manauarashopping.com.br,1,Between 100 and 500 characters.,https://www.facebook.com/manauarashop/,261,Not using.,5.77%,1.55%,Perfect timing!,"162,422","9,372",Manauara Shopping,manauarashop,3.25
Studio5shopping,http://www.studio5shopping.com.br/,2,Between 100 and 500 characters.,https://www.facebook.com/Studio5Shopping/,20,Using.,1.63%,0.73%,Slightly off.,"41,936",682,Studio 5,Studio5Shopping,1.15
